id;title;description;durationMinutes;movementType;intensity;suitableGoals;suitableWorkplaces;requiredSetup;suitablePhases;suitableWorkdayTypes;bodyArea;position;visibilityLevel;instructionStep1;instructionStep2;instructionStep3;instructionStep4;instructionStep5;instructionStep6;reason;explanation;similarityGroup;priority;migrationNote
seated-glute-squeeze;Sitzmuskel-Aktivierung;Aktiviere Gesäß und Hüfte kurz im Sitzen, um passive Sitzphasen zu unterbrechen.;2;activate;gentle;sit-less|habit|back-neck;office|homeoffice;no-equipment;focus|meeting;focus-heavy|meeting-heavy|mixed-day;hips|legs;sitting;discreet;Setze dich stabil und aufrecht hin.;Spanne beide Gesäßmuskeln kurz und kontrolliert an.;Halte die Spannung für einen Atemzug.;Löse vollständig und bleibe locker sitzen.;Wiederhole die Anspannung einige Male ohne Pressatmung.;;Unterbricht passives Sitzen sehr unauffällig.;Die Übung passt in Situationen, in denen sichtbare Bewegung gerade nicht möglich ist.;hip-activation;78;neu ergänzt für 80er-Bibliothek
desk-scapula-squeeze;Schulterblatt-Reset;Aktiviere den oberen Rücken mit kleinen Schulterblattbewegungen am Arbeitsplatz.;2;activate;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;focus|between-tasks|meeting;focus-heavy|meeting-heavy|mixed-day;shoulders|upper-back;sitting;discreet;Setze oder stelle dich aufrecht hin.;Lasse die Schultern locker nach unten sinken.;Ziehe die Schulterblätter langsam nach hinten unten zusammen.;Halte die Spannung kurz, ohne ins Hohlkreuz zu gehen.;Löse wieder und wiederhole die Bewegung ruhig.;;Stärkt das Gefühl für eine aufrechte Haltung.;Der Impuls ist klein genug für den Arbeitsplatz und hilfreich nach runder Sitzhaltung.;upper-back-activation;87;neu ergänzt für 80er-Bibliothek
seated-hip-opener;Hüft-Öffner im Sitzen;Mobilisiere die Hüfte kurz, ohne den Arbeitsplatz verlassen zu müssen.;3;mobilize;gentle;sit-less|back-neck|habit;office|homeoffice;no-equipment;focus|between-tasks;focus-heavy|mixed-day;hips|lower-back;sitting;normal;Setze dich aufrecht auf den Stuhl.;Lege einen Fuß locker auf das andere Knie, sofern es angenehm ist.;Richte den Rücken lang auf.;Neige den Oberkörper minimal nach vorne, bis ein sanfter Zug entsteht.;Wechsle die Seite nach einigen Atemzügen.;;Hilft, die Hüfte nach längerem Sitzen kurz zu öffnen.;Die Übung passt gut zwischen Aufgaben oder in eine ruhige Fokus-Unterbrechung.;hip-mobility;82;neu ergänzt für 80er-Bibliothek
standing-hip-flexor-reset;Hüftbeuger-Reset im Stand;Gleiche langes Sitzen mit einer kurzen Hüftstreckung im Stand aus.;3;stretch;balanced;sit-less|back-neck|habit;office|homeoffice;no-equipment;between-tasks|break;focus-heavy|mixed-day;hips|lower-back|legs;standing;normal;Stelle dich stabil neben den Schreibtisch.;Setze einen Fuß einen kleinen Schritt nach hinten.;Richte das Becken auf und bleibe im Oberkörper lang.;Schiebe die Hüfte sanft nach vorne, bis ein leichter Zug entsteht.;Wechsle die Seite ruhig und kontrolliert.;;Gut nach langen Sitzphasen.;Der kurze Stand-Stretch bringt Ausgleich in Hüfte und unteren Rücken.;hip-flexor-stretch;86;neu ergänzt für 80er-Bibliothek
standing-side-bend;Seitneigung im Stand;Mobilisiere die Körperseiten und den oberen Rücken mit einer ruhigen Seitneigung.;3;mobilize;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;between-tasks|break;mixed-day|focus-heavy;spine|chest|shoulders;standing;normal;Stelle dich hüftbreit hin.;Führe einen Arm locker über den Kopf.;Neige den Oberkörper langsam zur Gegenseite.;Atme ruhig in die gedehnte Körperseite.;Kehre zur Mitte zurück und wechsle die Seite.;;Löst Spannung in Rumpf und Schulterbereich.;Die Übung bietet einen klaren Gegenpol zur starren Sitzhaltung.;side-body-mobility;81;neu ergänzt für 80er-Bibliothek
standing-march-60;60-Sekunden-Marsch am Platz;Aktiviere Kreislauf und Beine mit einem kurzen, kontrollierten Marsch am Platz.;1;activate;active;more-energy|sit-less|habit;office|homeoffice;no-equipment;break|between-tasks;mixed-day;legs|calves|whole-body;standing;visible;Stelle dich mit etwas Abstand zum Stuhl auf.;Marschere locker auf der Stelle.;Lasse die Arme natürlich mitschwingen.;Halte das Tempo moderat und alltagstauglich.;Beende den Impuls bewusst, bevor du ins Schwitzen kommst.;;Schneller Energieimpuls ohne Equipment.;Der Marsch eignet sich vor allem in Pausen oder im Homeoffice, wenn mehr sichtbare Bewegung okay ist.;active-energy;75;neu ergänzt für 80er-Bibliothek
sit-to-stand-light;5 ruhige Sitz-Steh-Wiederholungen;Wechsle kontrolliert zwischen Sitzen und Stehen, um eine längere Sitzphase aktiv zu unterbrechen.;3;activate;balanced;sit-less|more-energy|habit;office|homeoffice;no-equipment;break|between-tasks;mixed-day|focus-heavy;legs|hips|whole-body;mixed;visible;Setze dich auf die vordere Stuhlkante.;Stelle beide Füße stabil auf den Boden.;Stehe langsam und kontrolliert auf.;Setze dich ebenso kontrolliert wieder hin.;Wiederhole den Wechsel einige Male in ruhigem Tempo.;;Verbindet Positionswechsel mit leichter Aktivierung.;Die Übung macht den Wechsel aus dem Sitzen aktiver, ohne Trainingscharakter zu stark zu betonen.;sit-stand-active;80;neu ergänzt für 80er-Bibliothek
wall-shoulder-slide;Wand-Engel light;Nutze eine freie Wand für eine ruhige Schulter- und Rückenaktivierung.;4;mobilize;balanced;back-neck|focus|habit;office|homeoffice;no-equipment;break|between-tasks;mixed-day;shoulders|upper-back|chest;standing;visible;Stelle dich mit dem Rücken an eine freie Wand.;Richte den Oberkörper auf und lasse die Schultern locker.;Führe die Arme langsam an der Wand nach oben, soweit es angenehm ist.;Senke die Arme kontrolliert wieder ab.;Wiederhole die Bewegung ruhig und ohne Druck.;;Gut für Schulter- und Brustöffnung.;Die Übung ist etwas sichtbarer und passt daher eher in Pausen oder ruhige Bereiche.;wall-mobility;76;neu ergänzt für 80er-Bibliothek
standing-desk-weight-shift;Gewichtsverlagerung am Stehtisch;Mache die Stehphase dynamischer, indem du das Gewicht ruhig von Seite zu Seite verlagerst.;3;stand;gentle;sit-less|habit|back-neck;office|homeoffice;standing-desk;focus|meeting|between-tasks;focus-heavy|meeting-heavy|mixed-day;feet|legs|hips;standing;normal;Stelle dich stabil an den höhenverstellbaren Schreibtisch.;Verteile das Gewicht gleichmäßig auf beide Füße.;Verlagere das Gewicht langsam auf den rechten Fuß.;Wechsle ruhig auf den linken Fuß.;Arbeite danach nur weiter im Stand, wenn die Haltung angenehm bleibt.;;Verhindert statisches Stehen am Stehtisch.;Der Impuls macht eine Stehphase etwas lebendiger, ohne den Arbeitsfluss zu stören.;stand-desk;88;neu ergänzt für 80er-Bibliothek
standing-desk-heel-toe-rock;Fersen-Zehen-Rocker;Aktiviere Waden und Füße während einer kurzen Stehphase am Schreibtisch.;2;activate;gentle;sit-less|more-energy|habit;office|homeoffice;standing-desk;focus|meeting|between-tasks;meeting-heavy|mixed-day;feet|calves|legs;standing;normal;Stelle dich stabil an den Stehtisch.;Rolle langsam von den Fersen auf die Zehen.;Senke die Füße kontrolliert zurück.;Wechsle danach leicht auf die Fersen, wenn es stabil möglich ist.;Bleibe langsam und halte dich bei Bedarf am Tisch fest.;;Bringt Bewegung in eine sonst statische Stehphase.;Die Übung nutzt den Stehtisch, ohne dass du den Arbeitsplatz verlassen musst.;stand-desk-calf;84;neu ergänzt für 80er-Bibliothek
standing-desk-shoulder-reset;Schulter-Reset am Stehtisch;Nutze den Positionswechsel am Stehtisch für eine kurze Schulter- und Brustöffnung.;3;mobilize;gentle;back-neck|focus|habit;office|homeoffice;standing-desk;focus|between-tasks;focus-heavy|mixed-day;shoulders|chest|upper-back;standing;normal;Stelle dich aufrecht an den höhenverstellbaren Schreibtisch.;Lasse die Arme locker hängen.;Rolle die Schultern langsam nach hinten unten.;Öffne den Brustkorb kurz und atme ruhig ein.;Kehre danach in eine entspannte Arbeitsposition zurück.;;Kombiniert Stehen mit aktiver Haltungspflege.;Die Empfehlung verhindert, dass der Stehmodus nur passiv genutzt wird.;stand-desk-upper-back;83;neu ergänzt für 80er-Bibliothek
standing-desk-focus-swap;Fokus-Wechsel: 15 Minuten Stehen;Nutze einen überschaubaren Teil einer Fokusaufgabe im Stehen und wechsle danach bewusst zurück.;15;stand;balanced;sit-less|focus|habit;office|homeoffice;standing-desk;focus;focus-heavy|mixed-day;legs|spine|whole-body;standing;normal;Wähle eine Aufgabe, die sich gut im Stehen bearbeiten lässt.;Stelle Tisch und Bildschirm passend ein.;Arbeite bewusst nur einen kurzen Abschnitt im Stehen.;Prüfe zwischendurch Schultern, Füße und Konzentration.;Wechsle danach wieder in eine andere Position.;;Hilft, Sitzzeit geplant zu unterbrechen.;Die Empfehlung setzt Stehen dosiert ein und vermeidet zu lange statische Stehphasen.;stand-desk-focus;90;neu ergänzt für 80er-Bibliothek
standing-desk-meeting-swap;Meeting-Abschnitt im Stehen;Verbringe einen kurzen, passenden Teil eines Meetings im Stehen und setze dich danach bewusst wieder.;8;stand;gentle;sit-less|focus|habit;office|homeoffice;standing-desk;meeting;meeting-heavy|mixed-day;legs|spine;standing;normal;Prüfe, ob ein ruhiger Stehwechsel im Meeting passt.;Fahre den Tisch leise hoch oder wechsle bereits vor Meetingbeginn in den Stand.;Stelle beide Füße stabil auf.;Bleibe nur für einen Teil des Meetings im Stehen.;Wechsle danach bewusst zurück ins Sitzen oder in Bewegung.;;Meeting-tauglicher Positionswechsel mit Stehtisch.;Die Empfehlung nutzt vorhandenes Setup, ohne aus einem Meeting eine Bewegungseinheit zu machen.;meeting-stand-desk;87;neu ergänzt für 80er-Bibliothek
standing-desk-back-extension;Rückenstreckung am Stehtisch;Entlaste den Rücken mit einer kurzen, kontrollierten Streckung am Tisch.;3;stretch;gentle;back-neck|habit;office|homeoffice;standing-desk;between-tasks|break;focus-heavy|mixed-day;lower-back|spine|chest;standing;normal;Stelle dich an den Stehtisch und lege die Hände locker auf die Tischkante.;Tritt einen kleinen Schritt zurück.;Schiebe die Hüfte leicht nach hinten und verlängere den Rücken.;Atme ruhig in die Position.;Kehre langsam in den Stand zurück.;;Gut als Ausgleich nach längerer Sitzhaltung.;Die Bewegung nutzt den Tisch als Orientierung und bleibt kurz dosiert.;stand-desk-back;80;neu ergänzt für 80er-Bibliothek
walking-pad-email-scan;Walking Pad für E-Mail-Sichtung;Nutze sehr langsames Gehen für eine einfache, nicht kreative Aufgabe wie E-Mails sichten.;10;walk;balanced;sit-less|more-energy|habit;office|homeoffice;walking-pad;focus|between-tasks;mixed-day|focus-heavy;legs|whole-body;walking;normal;Wähle eine einfache Aufgabe mit geringer Konzentrationsanforderung.;Starte das Walking Pad langsam.;Scanne E-Mails oder sortiere einfache Informationen.;Halte das Gehen so ruhig, dass du nicht abgelenkt wirst.;Beende die Walking-Phase nach kurzer Zeit bewusst.;;Nutzt das Walking Pad für leichte Arbeitsaufgaben.;Die Empfehlung vermeidet komplexe Fokusarbeit und passt eher zu Routinetätigkeiten.;walking-pad;88;neu ergänzt für 80er-Bibliothek
walking-pad-phone-pace;Telefonat auf dem Walking Pad;Gehe sehr langsam während eines geeigneten Telefonats und halte die Stimme ruhig.;12;walking_meeting;balanced;sit-less|more-energy|habit;office|homeoffice;walking-pad;phone|meeting;meeting-heavy|mixed-day;legs|whole-body;walking;normal;Prüfe, ob das Telefonat ohne Bildschirmarbeit funktioniert.;Starte das Walking Pad auf sehr niedriger Geschwindigkeit.;Gehe so langsam, dass Atmung und Stimme ruhig bleiben.;Halte bei wichtigen Gesprächsphasen kurz an, wenn nötig.;Beende den Impuls bewusst nach einigen Minuten.;;Sehr passend für Telefonate ohne intensive Bildschirmarbeit.;So wird ein Call zur leichten Bewegungszeit, ohne die Gesprächsqualität zu stören.;walking-pad-call;92;neu ergänzt für 80er-Bibliothek
walking-pad-after-lunch;Ruhiges Nach-dem-Essen-Gehen;Nutze eine sehr leichte Walking-Phase nach der Pause, um wieder in Bewegung zu kommen.;8;walk;gentle;more-energy|habit|sit-less;office|homeoffice;walking-pad;break|between-tasks;mixed-day;legs|whole-body;walking;normal;Starte nach einer Pause mit sehr niedriger Geschwindigkeit.;Gehe locker und ohne Leistungsdruck.;Halte Schultern und Arme entspannt.;Nutze die Zeit für einen ruhigen Übergang zurück in den Arbeitstag.;Beende die Walking-Phase, bevor sie anstrengend wird.;;Sanfter Übergang nach einer Pause.;Die Empfehlung bringt Energie zurück, bleibt aber sehr niedrigschwellig.;walking-pad-energy;82;neu ergänzt für 80er-Bibliothek
walking-pad-admin-block;Admin-Block im langsamen Gehen;Kombiniere einfache administrative Aufgaben mit sehr langsamem Walking Pad.;15;walk;balanced;sit-less|habit|more-energy;office|homeoffice;walking-pad;between-tasks|focus;mixed-day;legs|whole-body;walking;normal;Sammle einfache administrative Aufgaben für einen kurzen Block.;Starte das Walking Pad langsam.;Bearbeite nur Aufgaben, die wenig Feinmotorik oder hohe Konzentration brauchen.;Prüfe regelmäßig, ob das Gehen weiterhin unterstützt.;Wechsle danach bewusst zurück in eine andere Arbeitsposition.;;Gut für Routinetätigkeiten statt tiefer Fokusarbeit.;Das Walking Pad wird gezielt für passende Aufgaben genutzt und nicht dauerhaft erzwungen.;walking-pad-admin;86;neu ergänzt für 80er-Bibliothek
walking-pad-listening-meeting;Zuhör-Meeting im Gehen;Nutze ein Meeting mit hohem Zuhöranteil für sehr langsames Gehen.;10;walking_meeting;balanced;sit-less|more-energy|focus;office|homeoffice;walking-pad;meeting;meeting-heavy|mixed-day;legs|whole-body;walking;normal;Prüfe, ob du im Meeting überwiegend zuhörst.;Starte das Walking Pad vor oder zu Beginn des passenden Abschnitts langsam.;Gehe so ruhig, dass Kamera, Ton und Aufmerksamkeit stabil bleiben.;Stoppe das Walking Pad bei aktiven Beiträgen, wenn es dich stört.;Wechsle nach dem Abschnitt zurück.;;Passt für Meetings mit wenig eigener Bildschirmarbeit.;Die Empfehlung ist kontextabhängig und vermeidet Walking bei ungeeigneten Meetingteilen.;walking-pad-meeting;90;neu ergänzt für 80er-Bibliothek
walking-pad-reset-end;Walking-Pad-Abschlussrunde;Schließe einen Arbeitsblock mit einer kurzen, sehr ruhigen Walking-Phase ab.;6;walk;gentle;habit|sit-less|focus;office|homeoffice;walking-pad;between-tasks;focus-heavy|mixed-day;legs|whole-body;walking;normal;Beende den aktuellen Arbeitsblock bewusst.;Starte das Walking Pad sehr langsam.;Gehe einige Minuten ohne neue komplexe Aufgabe.;Sortiere gedanklich den nächsten Schritt.;Stoppe und starte danach bewusst neu.;;Hilft beim Übergang zwischen Aufgaben.;Die Bewegung verbindet einen mentalen Reset mit leichter Aktivität.;walking-pad-transition;81;neu ergänzt für 80er-Bibliothek
hallway-focus-transition;Flur-Übergang nach Fokusblock;Nutze einen kurzen Flurweg als klare Grenze zwischen zwei Arbeitsblöcken.;4;walk;gentle;focus|sit-less|habit;office|homeoffice;hallway;between-tasks;focus-heavy|mixed-day;legs|whole-body;walking;normal;Beende den Fokusblock bewusst am Arbeitsplatz.;Stehe auf und gehe einen kurzen Weg durch den Flur.;Gehe ohne Handy oder neue Aufgabe.;Atme ruhig und lasse Schultern locker.;Kehre zurück und starte den nächsten Block bewusst.;;Macht den Übergang zwischen Aufgaben körperlich spürbar.;Der Flur wird als einfacher Bewegungsanker genutzt.;hallway-transition;89;neu ergänzt für 80er-Bibliothek
hallway-shoulder-walk;Schulter-locker-Gehen im Flur;Kombiniere einen kurzen Flurweg mit lockerem Schulterlösen.;4;walk;gentle;back-neck|more-energy|habit;office|homeoffice;hallway;break|between-tasks;mixed-day;shoulders|legs|whole-body;walking;normal;Gehe in ruhigem Tempo durch den Flur.;Lasse die Arme locker mitschwingen.;Ziehe die Schultern einmal sanft hoch und lasse sie wieder fallen.;Kreise die Schultern klein, wenn der Raum es zulässt.;Kehre ohne Eile an den Arbeitsplatz zurück.;;Verbindet Gehen mit Schulterentlastung.;Der Impuls ist alltagstauglich und nutzt vorhandene Wege sinnvoll.;hallway-walk-shoulders;84;neu ergänzt für 80er-Bibliothek
hallway-phone-pacing;Telefonat im Flur;Nutze ein passendes Telefonat für ruhiges Auf-und-ab-Gehen im Flur.;8;walk;gentle;sit-less|more-energy|habit;office|homeoffice;hallway;phone;meeting-heavy|mixed-day;legs|whole-body;walking;normal;Prüfe, ob der Call nicht vertraulich oder störend für andere ist.;Wähle einen ruhigen Flurabschnitt.;Gehe langsam und gleichmäßig auf und ab.;Halte das Tempo niedrig, damit die Stimme ruhig bleibt.;Setze dich nach dem Telefonat bewusst wieder oder bleibe kurz stehen.;;Macht Telefonate zu natürlicher Bewegungszeit.;Die Empfehlung passt besonders, wenn ein Flur verfügbar ist und der Call dafür geeignet ist.;hallway-phone;92;neu ergänzt für 80er-Bibliothek
hallway-water-refill;Wasserholen als Bewegungsanker;Verknüpfe Trinken mit einem kurzen Gehimpuls durch Büro oder Wohnung.;4;walk;gentle;sit-less|habit|more-energy;office|homeoffice;hallway;between-tasks|break;mixed-day|focus-heavy;legs|whole-body;walking;normal;Nimm eine leere Flasche oder ein Glas als Anlass.;Stehe auf und gehe bewusst zum Wasserholen.;Gehe ruhig und ohne nebenbei aufs Handy zu schauen.;Trinke einen Schluck und richte dich kurz auf.;Gehe zurück und starte bewusst neu.;;Einfacher Anker für regelmäßige Bewegung.;Der Impuls nutzt eine ohnehin sinnvolle Handlung und macht Bewegung leichter zur Gewohnheit.;habit-water-walk;88;neu ergänzt für 80er-Bibliothek
hallway-meeting-buffer;Pufferweg vor dem nächsten Meeting;Nutze zwei bis drei Minuten vor einem Meeting für einen kurzen Weg.;3;walk;gentle;focus|habit|sit-less;office|homeoffice;hallway;between-tasks|meeting;meeting-heavy|mixed-day;legs|breathing|whole-body;walking;normal;Beende die vorherige Aufgabe bewusst.;Stehe vor dem nächsten Meeting kurz auf.;Gehe einen kleinen Weg durch Flur oder Raum.;Atme ruhig und sortiere den nächsten Termin gedanklich.;Setze dich rechtzeitig vor Meetingbeginn wieder hin.;;Hilft, Meeting an Meeting nicht nur sitzend zu überbrücken.;Der kurze Pufferweg schafft Bewegung und einen mentalen Wechsel.;meeting-buffer-walk;86;neu ergänzt für 80er-Bibliothek
hallway-after-lunch-loop;Ruhige Runde nach der Pause;Nutze nach der Pause einen kurzen Weg, bevor du wieder länger sitzt.;5;walk;balanced;more-energy|sit-less|habit;office|homeoffice;hallway;break|between-tasks;mixed-day;legs|whole-body;walking;normal;Starte nach der Pause nicht direkt im Sitzen.;Gehe eine kurze Runde durch den Flur oder geeigneten Bereich.;Halte das Tempo ruhig und alltagstauglich.;Atme gleichmäßig und lasse die Schultern locker.;Kehre danach bewusst an den Arbeitsplatz zurück.;;Sanfter Energieimpuls nach einer Pause.;Die Runde hilft, wieder in den Arbeitsmodus zu kommen, ohne zu intensiv zu werden.;hallway-energy;82;neu ergänzt für 80er-Bibliothek
stairs-meeting-buffer;Treppenpuffer zwischen Terminen;Nutze eine kurze Treppe zwischen zwei Terminen als aktiveren Wechsel.;4;activate;balanced;more-energy|sit-less|habit;office|homeoffice;stairs;between-tasks|break;meeting-heavy|mixed-day;legs|calves|whole-body;stairs;visible;Gehe zur nächstgelegenen Treppe.;Steige ein bis zwei Etagen oder einige Stufen in ruhigem Tempo.;Bleibe so entspannt, dass du danach normal weiterarbeiten kannst.;Nutze den Rückweg ebenfalls ruhig und kontrolliert.;Setze dich danach bewusst wieder oder starte in den nächsten Termin.;;Aktiver als ein normaler Flurweg, aber kurz dosiert.;Die Treppe eignet sich besonders als Puffer zwischen Terminen oder Aufgaben.;stairs-buffer;86;neu ergänzt für 80er-Bibliothek
stairs-calf-activation;Wadenaktivierung an der Stufe;Aktiviere Waden und Füße kurz an einer Stufe oder Treppenkante.;3;activate;balanced;more-energy|habit|sit-less;office|homeoffice;stairs;break|between-tasks;mixed-day;calves|feet|legs;stairs;visible;Stelle dich stabil auf eine Stufe und halte dich bei Bedarf am Geländer fest.;Hebe die Fersen langsam an.;Senke sie kontrolliert wieder ab.;Führe die Bewegung ruhig und ohne Schwung aus.;Gehe danach langsam zurück an den Arbeitsplatz.;;Kurzer Aktivierungsimpuls für Beine und Füße.;Die Übung nutzt die Treppe gezielt und bleibt zeitlich klar begrenzt.;stairs-calf;78;neu ergänzt für 80er-Bibliothek
stairs-one-floor-reset;Eine Etage bewusst gehen;Gehe eine Etage bewusst langsam hoch oder runter und nutze sie als Sitzunterbrechung.;5;walk;balanced;sit-less|more-energy|habit;office|homeoffice;stairs;break|between-tasks;mixed-day|meeting-heavy;legs|calves|whole-body;stairs;visible;Wähle eine nahegelegene Treppe.;Gehe eine Etage in ruhigem Tempo.;Achte darauf, nicht außer Atem zu kommen.;Nutze oben oder unten einen kurzen Moment zum Durchatmen.;Kehre kontrolliert zurück.;;Einfacher, klarer Bewegungsimpuls mit Treppe.;Die Empfehlung ist aktiver als ein Flurweg, bleibt aber bewusst niedrigschwellig.;stairs-walk;84;neu ergänzt für 80er-Bibliothek
stairs-active-mini;Aktive Treppen-Minute;Nutze die Treppe für eine kurze aktive Minute, wenn du bewusst mehr Energie möchtest.;2;activate;active;more-energy|habit|sit-less;office|homeoffice;stairs;break;mixed-day;legs|calves|whole-body;stairs;visible;Gehe zur Treppe und starte mit ruhigem Tempo.;Steige für etwa eine Minute kontrolliert Stufen hoch und runter.;Halte dich bei Bedarf am Geländer fest.;Beende den Impuls, bevor er sich zu intensiv anfühlt.;Gehe ruhig zurück und atme gleichmäßig weiter.;;Kurzer Energieimpuls für aktivere Nutzer.;Die Übung ist bewusst als sichtbare Pausenoption gedacht und nicht für Meetings geeignet.;stairs-active;72;neu ergänzt für 80er-Bibliothek
exercise-space-squat-light;Mini-Kniebeugen neben dem Tisch;Aktiviere Beine und Hüfte mit kleinen, kontrollierten Kniebeugen.;4;activate;active;more-energy|habit|sit-less;office|homeoffice;exercise-space;break|between-tasks;mixed-day;legs|hips|whole-body;standing;visible;Stelle dich mit etwas Platz neben den Schreibtisch.;Positioniere die Füße etwa hüftbreit.;Beuge die Knie nur so weit, wie es kontrolliert angenehm ist.;Stehe langsam wieder auf.;Wiederhole die Bewegung ruhig und ohne Tempo.;;Aktiver Impuls für mehr Energie.;Mit etwas Platz wird aus einer Sitzunterbrechung eine kurze Aktivierung.;exercise-space-legs;78;neu ergänzt für 80er-Bibliothek
exercise-space-side-steps;Seitliche Schritte;Gehe einige kontrollierte Schritte nach rechts und links, um Beine und Hüfte zu aktivieren.;3;activate;balanced;more-energy|sit-less|habit;office|homeoffice;exercise-space;break|between-tasks;mixed-day;hips|legs|whole-body;standing;visible;Stelle dich mit etwas freiem Platz auf.;Gehe zwei bis drei kleine Schritte zur Seite.;Wechsle die Richtung und gehe zurück.;Halte Knie und Füße locker nach vorne ausgerichtet.;Wiederhole den Ablauf ruhig mehrere Male.;;Bringt seitliche Bewegung in den Arbeitstag.;Die Übung ist kurz, einfach und sorgt für Abwechslung zu Sitzen und Gehen geradeaus.;exercise-space-side-steps;80;neu ergänzt für 80er-Bibliothek
exercise-space-spine-flow;Wirbelsäulen-Flow im Stand;Mobilisiere Rücken und Brustwirbelsäule mit einem kurzen, ruhigen Bewegungsflow.;5;mobilize;balanced;back-neck|focus|habit;office|homeoffice;exercise-space;break|between-tasks;focus-heavy|mixed-day;spine|upper-back|lower-back;standing;visible;Stelle dich mit etwas Platz auf.;Runde den oberen Rücken sanft und lasse den Kopf locker sinken.;Richte dich Wirbel für Wirbel wieder auf.;Drehe den Oberkörper langsam nach rechts und links.;Schließe mit einer ruhigen aufrechten Haltung ab.;;Qualitativer Bewegungsimpuls für Rücken und Fokus.;Der Flow gibt dem Rücken mehrere Bewegungsrichtungen statt nur einen Positionswechsel.;exercise-space-spine;85;neu ergänzt für 80er-Bibliothek
exercise-space-lunge-reach;Ausfallschritt mit Armreichweite light;Kombiniere einen kleinen Ausfallschritt mit einer sanften Armbewegung.;4;mobilize;active;more-energy|back-neck|habit;office|homeoffice;exercise-space;break;mixed-day;hips|legs|chest|whole-body;standing;visible;Stelle dich mit ausreichend Platz auf.;Setze einen Fuß in einen kleinen Ausfallschritt nach hinten.;Hebe den gegenüberliegenden Arm locker nach oben.;Kehre kontrolliert in den Stand zurück.;Wechsle die Seite und bleibe im Bewegungsradius angenehm.;;Aktiver Ganzkörperimpuls für Pausen.;Die Übung bringt Hüfte, Beine und Brustkorb in Bewegung und eignet sich eher für sichtbare Pausen.;exercise-space-whole-body;73;neu ergänzt für 80er-Bibliothek
exercise-space-floor-back-reset;Rücken-Reset auf dem Boden;Nutze freien Platz für einen kurzen Rücken-Reset in Rückenlage oder auf einer Matte.;6;stretch;gentle;back-neck|habit|focus;homeoffice;exercise-space;break;focus-heavy|mixed-day;lower-back|spine|hips;floor;visible;Lege dich für kurze Zeit auf den Rücken, wenn der Ort dafür geeignet ist.;Stelle die Füße auf und lasse den Rücken ruhig sinken.;Kippe das Becken leicht vor und zurück.;Ziehe bei Bedarf ein Knie sanft Richtung Brust.;Setze dich langsam wieder auf und stehe ruhig auf.;;Gute Homeoffice-Option für spürbare Entlastung.;Diese Übung ist bewusst sichtbar und eher für Homeoffice oder private Pausen geeignet.;floor-back-reset;77;neu ergänzt für 80er-Bibliothek
exercise-space-power-reset;Power-Reset ohne Springen;Aktiviere dich mit dynamischen, aber leisen Bewegungen ohne Springen.;3;activate;active;more-energy|habit|sit-less;homeoffice;exercise-space;break|between-tasks;mixed-day;legs|hips|whole-body;standing;visible;Stelle dich mit ausreichend Platz auf.;Mache lockere Kniebeugen oder große Schritte am Platz.;Bewege die Arme kontrolliert mit.;Halte die Bewegung leise und ohne Springen.;Stoppe nach kurzer Zeit und atme ruhig weiter.;;Aktiver Energieimpuls für Homeoffice-Pausen.;Die Übung bringt Dynamik, bleibt aber ohne Sprünge und benötigt nur etwas Platz.;exercise-space-power;74;neu ergänzt für 80er-Bibliothek
small-equipment-band-row;Band-Rudern light;Aktiviere oberen Rücken und Schultern mit ruhigen Zugbewegungen mit Band.;4;activate;balanced;back-neck|more-energy|habit;office|homeoffice;small-equipment;break|between-tasks;mixed-day|focus-heavy;upper-back|shoulders;standing;visible;Nimm das Band sicher in beide Hände.;Stelle dich aufrecht hin und halte die Ellbogen nah am Körper.;Ziehe die Hände langsam Richtung Oberkörper.;Spüre die Schulterblätter, ohne die Schultern hochzuziehen.;Löse die Spannung kontrolliert und wiederhole ruhig.;;Gezielte Aktivierung für Rücken und Schulterbereich.;Kleines Equipment macht den Impuls klarer und hochwertiger, bleibt aber kurz.;band-upper-back;84;neu ergänzt für 80er-Bibliothek
small-equipment-ball-foot-roll;Fußsohlen-Rollout;Rolle mit einem kleinen Ball oder ähnlichem Hilfsmittel kurz die Fußsohle aus.;3;mobilize;gentle;habit|focus|back-neck;office|homeoffice;small-equipment;focus|between-tasks;focus-heavy|mixed-day;feet|calves;sitting;normal;Setze dich stabil auf den Stuhl.;Lege einen kleinen Ball unter eine Fußsohle.;Rolle langsam von vorne nach hinten.;Verweile kurz an angenehmen Stellen.;Wechsle die Seite und stelle danach beide Füße stabil auf.;;Ruhiger Reset für Füße und Körperwahrnehmung.;Die Übung ist klein, aber wertvoll nach langem Sitzen oder Stehen.;foot-roll;76;neu ergänzt für 80er-Bibliothek
